nombre
BLAN
MEL2
COBA
NEGR
CELE
MARI
ROJO
AZUL
VERD
ACER
MNEG
CREM
MMAR
CRED
AMAR
FRES
FUCS
TURQ
LORO
BARN
ROSA
Esco
GUIN
CARN
CELM
KIWI
